        0DPL#(RSIDPL#(RSWDPL#(RSIDPL#(RSOIR061R,6)
15.12.199NA       354.236NA      NA
15.01.199NA         302.6   222.9NA
15.02.199NA           321   120.5NA
15.03.199NA         361.5   123.7NA
15.04.199NA         386.2   101.3NA
15.05.199NA         429.9    62.9NA
15.06.199NA         480.6      66NA
15.07.199NA         499.5     113NA
15.08.199NA         520.6     104NA
15.09.199NA         564.5      65NA
15.10.199NA         594.5    33.4NA
15.11.199NA         615.7    32.8NA
15.12.199NA         735.5    52.3NA
15.01.199NA         654.8    31.1NA
15.02.199NA         684.4    29.3NA
15.03.199NA           745    67.9NA
15.04.199NA         746.5    36.5NA
15.05.199NA         779.3    30.5NA
15.06.199NA         837.2    63.9NA
15.07.199NA         842.8    44.7NA
15.08.199NA           831    31.5NA
15.09.199NA         848.1    38.6NA
15.10.199NA         843.3    29.4NA
15.11.199NA           835    26.7NA
15.12.199NA        1017.1    26.4NA
15.01.199NA         812.2    21.1NA
15.02.199NA         821.2    25.8NA
15.03.199NA         902.9    32.4NA
15.04.199NA         901.1    28.2NA
15.05.199NA         919.7    14.8NA
15.06.199NA         993.2    16.1NA
15.07.199NA         999.1    14.3NA
15.08.199NA         982.3    16.2NA
15.09.199NA        1026.2    15.6NA
15.10.199NA        1006.1    18.2NA
15.11.199NA         997.8    20.5NA
15.12.199NA        1214.8    28.4NA
15.01.199NA           988    24.1NA
15.02.199NA          1000    30.3NA
15.03.199NA          1059    25.9NA
15.04.199NA          1040    29.5NA
15.05.199NA          1047    47.6NA
15.06.199NA          1122    56.1NA
15.07.199NA          1110    58.8NA
15.08.199NA          1052    45.3NA
15.09.199NA          1112   139.7NA
15.10.199NA          1123    84.9NA
15.11.199NA          1164    36.7NA
15.12.199NA          1482    27.8NA
15.01.199NA          1167    28.1   96.34
15.02.199NA          1199    20.4   99.47
15.03.199NA          1385    20.7   98.67
15.04.199NA          1423    15.2  110.55
15.05.199NA          1472     7.1   96.75
15.06.199NA          1626     8.4   64.73
15.07.199NA          1618       9   68.36
15.08.199NA          1608     9.3   75.88
15.09.199NA          1684    18.2   83.74
15.10.199NA          1716    16.1   86.87
15.11.199NA          1789    13.2   89.06
15.12.199NA          2283    11.8   78.09
15.01.200      69    1830    11.8   58.57
15.02.200    66.5    1839    11.3   51.06
15.03.200    71.3    2018     6.5   40.95
15.04.200    73.4    2039    11.1   41.12
15.05.200    64.6    2101     7.6   41.05
15.06.200    65.6    2294     5.1   37.82
15.07.200      66    2302     3.4   29.44
15.08.200    67.4    2289     4.6   25.68
15.09.200    67.4    2367     3.3   23.59
15.10.200    71.6    2425     5.2    23.8
15.11.200    71.6    2508     8.5   24.18
15.12.200    76.3    3025     7.3    24.7
15.01.200    69.3    2733     5.4   23.29
15.02.200    66.9    2655    12.1   21.97
15.03.200      73    2964     8.3   22.36
15.04.200    69.4    2923       9   20.96
15.05.200    69.1    3054     6.9   19.34
15.06.200    68.4    3284    13.2   18.81
15.07.200    69.2    3364     6.2   18.96
15.08.200    70.2    3376     7.3   18.58
15.09.200    70.6    3405     8.1   17.48
15.10.200    76.4    3515     7.3   17.34
15.11.200    75.7    3578    13.5   16.84
15.12.200    77.6    4541    23.9   16.67
15.01.200    71.9    3760    10.7    15.7
15.02.200    68.9    3725    13.3    15.1
15.03.200    74.9    4031    12.6   16.09
15.04.200    72.1    4110     9.7   17.05
15.05.200    68.9    4187     5.2   16.85
15.06.200    69.9    4460     6.4   16.56
15.07.200    73.2    4597    13.4   16.24
15.08.200      74    4511     4.9   16.28
15.09.200    73.7    4521     6.1   16.23
15.10.200    78.8    4646     6.8   15.39
15.11.200    76.2    4694     4.1   14.62
15.12.200    80.7    5738     5.1   13.78
15.01.200    75.4    4696     7.3   13.14
15.02.200    74.5    4701     2.5   10.89
15.03.200    82.5    4986     2.8    9.42
15.04.200    80.2    5100       2    8.75
15.05.200    76.4    5221     1.3    7.66
15.06.200    76.9    5550     1.4    7.41
15.07.200    79.8    5615     4.1    8.27
15.08.200    79.1    5491     3.9    8.26
15.09.200    81.3    5556     9.9    8.45
15.10.200    85.8    5864     5.2    8.27
15.11.200    83.5    5990     3.4    8.18
15.12.200      92    7344     1.4     8.1
15.01.200    81.2    5932     1.1    7.48
15.02.200    82.5    6141     1.2    7.33
15.03.200    88.7    6428     1.8     7.2
15.04.200    85.6    6448     5.2    7.62
15.05.200    82.4    6524     9.7    7.99
15.06.200      85    7003     6.6    8.04
15.07.200    85.8    6982     3.8    8.03
15.08.200    87.6    6873     4.1    8.03
15.09.200      87    6918     3.1    7.96
15.10.200    89.7    6908     1.1    7.86
15.11.200    91.1    7046     1.1    7.85
15.12.200    98.3    8799     1.1    8.06
15.01.200    83.7    7346     1.1    8.03
15.02.200    87.6    7465     1.1    7.99
15.03.200    93.3    8093       1    8.02
15.04.200    89.7    8002     1.3    8.12
15.05.200    84.9    8089       3     8.1
15.06.200    90.2    8637       4    8.12
15.07.200    89.9    8651     3.4    8.09
15.08.200    91.8    8616     2.4    7.84
15.09.200    92.4    8829     1.4    7.39
15.10.200    94.8    8701     2.9     7.3
15.11.200    96.8    8931     5.7    7.17
15.12.200   102.5   11319     4.8    6.94
15.01.200    87.7    9016     3.1    6.78
15.02.200    88.7    9255     3.1    6.83
15.03.200    98.9    9914     3.3    6.87
15.04.200    93.5    9833     3.3    6.91
15.05.200    94.2   10257     2.4    6.94
15.06.200    94.6   11106     2.8    6.96
15.07.200    95.8   10883       2    6.95
15.08.200    99.3   10853     2.3    6.85
15.09.200    98.7   11127     3.5    6.77
15.10.200     103   11046     4.1    6.73
15.11.200   103.9   11303     6.2    6.74
15.12.200   108.2   14263       5    6.65
15.01.200    96.2   11430     3.3    6.65
15.02.200    95.1   11757     3.8    6.65
15.03.200   105.6   12448     4.8    6.66
15.04.200     100   12494     3.3    6.61
15.05.200   100.7   12787     3.3    6.57
15.06.200   101.5   13712     3.4    6.57
15.07.200   104.6   13546     3.5    6.53
15.08.200   105.7   13270     5.2     6.6
15.09.200   103.4   13677     6.2    6.72
15.10.200   108.8   13986     5.7    6.61
15.11.200   110.2   14656     6.3    6.58
15.12.200   113.6   18591     4.4    6.58
15.01.200   102.6   14771     2.8    6.54
15.02.200   102.8   15354     4.3    6.74
15.03.200   109.4   16172     4.3    6.86
15.04.200   105.7   16538     4.2    6.86
15.05.200   105.2   16643     3.7    6.87
15.06.200   104.4   17715     3.7    6.89
15.07.200   106.6   17758     4.4    7.04
15.08.200   106.7   17244     5.8    7.46
15.09.200   106.4   17739     7.1    8.12
15.10.200   107.1   17643     7.6    8.45
15.11.200    96.4   17598     9.5    8.52
15.12.200      99   21681     8.3    8.99
15.01.200    83.9   17119    16.3   10.28
15.02.200    84.7   17098     9.3   10.37
15.03.200    93.7   18129     8.7   10.78
15.04.200    89.8   18009     8.6    10.4
15.05.200    88.7   18007     7.1   10.62
15.06.200    90.8   19247     6.8    9.92
15.07.200    93.8   18872     6.5   10.55
15.08.200    92.8   18335     6.6   10.61
15.09.200      95   18838     7.2   10.57
15.10.200    99.1   18798     5.8    9.58
15.11.200    99.9   19215     5.3    9.01
15.12.200   106.5   24004     5.1    8.96
15.01.201      91   18938       4     8.3
15.02.201    90.9   19017     3.8    8.25
15.03.201   102.4   20589     3.6    7.66
15.04.201    96.5   20358     3.3    7.33
15.05.201    95.9   20279     2.8    7.55
15.06.201    97.4   21795     2.6     7.4
15.07.201    98.1   21325     2.6    7.39
15.08.201    99.2   20753     2.6    7.44
15.09.201   100.9   20999     2.6     7.5
15.10.201   106.2   20970     2.7    7.45
15.11.201   107.3   21486     3.2    7.56
15.12.201   114.1   28027       3    7.66
15.01.201    96.6   20669     2.7    7.66
15.02.201    95.8   20680     2.8    7.69
15.03.201   106.2   22673     3.1    7.71
15.04.201   101.8   22519     3.3    7.59
15.05.201   101.8   22779     3.8     7.7
15.06.201   103.7   24137     3.7    7.74
15.07.201   103.6   23598     3.9    7.59
15.08.201   105.1   23051       4    7.78
15.09.201   105.5   23468     4.5    7.88
15.10.201   109.8   23602     4.9    8.02
15.11.201   111.5   24296       5     8.1
15.12.201   118.8   32809     5.4    8.14
15.01.201   100.1   23746     4.8    8.15
15.02.201   102.3   24036     4.4    7.81
15.03.201   109.6   25487     5.1    7.81
15.04.201   104.2   25800     5.3    7.88
15.05.201   105.2   26385     5.8    7.98
15.06.201   105.2   27494     5.8    8.12
15.07.201   107.3   26684     5.6    7.95
15.08.201   109.7   25718     5.3    7.92
15.09.201   107.9   25996     5.5    7.95
15.10.201   113.6   26803     6.1    7.81
15.11.201   115.1   27448     6.1    7.56
15.12.201   122.2   36450     6.2    7.84
15.01.201    99.7   26840     5.4    6.71
15.02.201    99.1 26619.6     5.7    6.74
15.03.201   109.4 28692.9       6    6.86
15.04.201   105.4 30025.9     6.2    6.76
15.05.201   104.6   29723     6.4     6.7
15.06.201     107 30986.1     6.3    7.24
15.07.201   108.1 30228.7     6.1    7.21
15.08.201   109.5 29226.3     6.1    7.25
15.09.201   109.3 29345.5     6.2    7.26
15.10.201   114.8   30069     6.1    7.24
15.11.201   118.3 30289.6     6.2     7.4
15.12.201   122.6 39648.4     6.4    7.56
15.01.201    99.5   29535     6.1     7.7
15.02.201   101.1 29255.3       6    7.81
15.03.201   110.9   31486     7.8    8.47
15.04.201   107.9   32947     7.9    8.43
15.05.201   107.5   32272     8.2    8.42
15.06.201   107.4   33726     8.2    8.23
15.07.201   109.7   32515     8.2    8.44
15.08.201   109.5   30763     7.9    8.98
15.09.201   112.5   31929     7.9    9.13
15.10.201   118.2   32439     8.2     9.3
15.11.201     118   32546    10.2    9.38
15.12.201   127.5   42136    15.4   11.65
15.01.201   100.7   30929      17    12.4
15.02.201   100.4   31325    15.1   11.78
15.03.201     113   32642    14.9   12.05
15.04.201   108.1   34377    14.3   11.04
15.05.201   105.4   34380    12.8   10.48
15.06.201   108.9   35395    12.5   10.32
15.07.201   109.4   33901    11.5   10.31
15.08.201     111   32176    10.9   11.93
15.09.201   114.4   32911    11.2   12.36
15.10.201   120.1   33357    11.1   11.81
15.11.201   122.4   33347    11.4   11.65
15.12.201   133.6   43408    11.1   11.37
15.01.201    99.8   32660      11   11.24
15.02.201   104.2   33873    10.8   10.81
15.03.201   113.4   35501    10.9   10.16
15.04.201   109.1   36497    10.7   10.16
15.05.201     107   37270      11   10.06
15.06.201   111.1   38447    10.6    9.91
15.07.201     111   35888    10.4    9.72
15.08.201   112.6   35405    10.3    9.59
15.09.201   114.5   35843    10.2    9.45
15.10.201   122.1   35749    10.3    9.51
15.11.201   126.5   36195      10    9.57
15.12.201   133.9   47554    10.6     9.4
15.01.201   102.1   35369    10.7    9.14
15.02.201   101.5   35900    10.1    9.12
15.03.201NA      NA           9.9NA
