Date;SBERBANK OF RUSSIA;VTB BANK;BK OTKRITIE;AVTOVAZ;KAMAZ;SOLLERS;MMC NORILSK NICKEL;POLYUS;SEVERSTAL;OC ROSNEFT;GAZPROM;OIL COMPANY LUKOIL;MAGNIT;LENTA 144A GDR (MIC);M VIDEO;MOBILE TELESYSTEMS;MEGAFON;ROSTELECOM;URALKALI;PHOSAGRO;ACRON;INTER RAO UES;RUSHYDRO;FED.GRID CO.OF UNG.SY.
31.12.1999;1.0003;NA;NA;0.3874;NA;NA;NA;NA;NA;NA;NA;295;NA;NA;NA;7.75;NA;51.1;NA;NA;NA;NA;NA;NA
03.01.2000;1.0003;NA;NA;0.3874;NA;NA;NA;NA;NA;NA;NA;295;NA;NA;NA;7.5;NA;51.1;NA;NA;NA;NA;NA;NA
04.01.2000;1.0003;NA;NA;0.3874;NA;NA;NA;NA;NA;NA;NA;295;NA;NA;NA;7.9375;NA;51.1;NA;NA;NA;NA;NA;NA
05.01.2000;1.2244;NA;NA;0.3968;NA;NA;NA;NA;NA;NA;NA;339;NA;NA;NA;8.0625;NA;73.99;NA;NA;NA;NA;NA;NA
06.01.2000;1.2503;NA;NA;0.3968;NA;NA;NA;NA;NA;NA;NA;348.5;NA;NA;NA;8;NA;74;NA;NA;NA;NA;NA;NA
07.01.2000;1.2503;NA;NA;0.3968;NA;NA;NA;NA;NA;NA;NA;348.5;NA;NA;NA;7.875;NA;74;NA;NA;NA;NA;NA;NA
10.01.2000;1.3329;NA;NA;0.3968;NA;NA;NA;NA;NA;NA;NA;388;NA;NA;NA;8.25;NA;72;NA;NA;NA;NA;NA;NA
11.01.2000;1.2024;NA;NA;0.3968;NA;NA;NA;NA;NA;NA;NA;369.9199;NA;NA;NA;7.75;NA;70.7;NA;NA;NA;NA;NA;NA
12.01.2000;1.2809;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;381.0398;NA;NA;NA;7.875;NA;74;NA;NA;NA;NA;NA;NA
13.01.2000;1.3965;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;384.1499;NA;NA;NA;8.125;NA;77.6;NA;NA;NA;NA;NA;NA
14.01.2000;1.4899;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;393.0999;NA;NA;NA;8.0625;NA;79.01;NA;NA;NA;NA;NA;NA
17.01.2000;1.3878;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;378;NA;NA;NA;8.0625;NA;75;NA;NA;NA;NA;NA;NA
18.01.2000;1.3261;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;360;NA;NA;NA;8.125;NA;74.65;NA;NA;NA;NA;NA;NA
19.01.2000;1.2138;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;350;NA;NA;NA;8.4375;NA;68.5;NA;NA;NA;NA;NA;NA
20.01.2000;1.3075;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;364.5;NA;NA;NA;8.3125;NA;73.5;NA;NA;NA;NA;NA;NA
21.01.2000;1.3679;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;372.0999;NA;NA;NA;7;NA;72.6;NA;NA;NA;NA;NA;NA
24.01.2000;1.2276;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;351.0498;NA;NA;NA;7.1875;NA;68.01;NA;NA;NA;NA;NA;NA
25.01.2000;1.195;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;337.0198;NA;NA;NA;6.8125;NA;65.8;NA;NA;NA;NA;NA;NA
26.01.2000;1.2401;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;342;NA;NA;NA;6.8125;NA;67.01;NA;NA;NA;NA;NA;NA
27.01.2000;1.317;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;345;NA;NA;NA;6.9375;NA;68;NA;NA;NA;NA;NA;NA
28.01.2000;1.1973;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;332.7998;NA;NA;NA;7;NA;64.5;NA;NA;NA;NA;NA;NA
31.01.2000;1.1221;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;315;NA;NA;NA;7;NA;60.7;NA;NA;NA;NA;NA;NA
01.02.2000;1.1188;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;315;NA;NA;NA;7;NA;61.51;NA;NA;NA;NA;NA;NA
02.02.2000;1.1315;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;316.2898;NA;NA;NA;7;NA;58.15;NA;NA;NA;NA;NA;NA
03.02.2000;1.2031;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;326;NA;NA;NA;6.9375;NA;62.5;NA;NA;NA;NA;NA;NA
04.02.2000;1.2303;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;332.8899;NA;NA;NA;7.125;NA;63.5;NA;NA;NA;NA;NA;NA
07.02.2000;1.2305;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;329;NA;NA;NA;7;NA;62.3;NA;NA;NA;NA;NA;NA
08.02.2000;1.2921;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;349;NA;NA;NA;7.125;NA;65;NA;NA;NA;NA;NA;NA
09.02.2000;1.3133;NA;NA;0.4434;NA;NA;NA;NA;NA;NA;NA;347;NA;NA;NA;7;NA;67.3;NA;NA;NA;NA;NA;NA
