0;DPL#(RSINTERO,6)
15.12.1994;NA
15.01.1995;222.9
15.02.1995;120.5
15.03.1995;123.7
15.04.1995;101.3
15.05.1995;62.9
15.06.1995;66
15.07.1995;113
15.08.1995;104
15.09.1995;65
15.10.1995;33.4
15.11.1995;32.8
15.12.1995;52.3
15.01.1996;31.1
15.02.1996;29.3
15.03.1996;67.9
15.04.1996;36.5
15.05.1996;30.5
15.06.1996;63.9
15.07.1996;44.7
15.08.1996;31.5
15.09.1996;38.6
15.10.1996;29.4
15.11.1996;26.7
15.12.1996;26.4
15.01.1997;21.1
15.02.1997;25.8
15.03.1997;32.4
15.04.1997;28.2
15.05.1997;14.8
15.06.1997;16.1
15.07.1997;14.3
15.08.1997;16.2
15.09.1997;15.6
15.10.1997;18.2
15.11.1997;20.5
15.12.1997;28.4
15.01.1998;24.1
15.02.1998;30.3
15.03.1998;25.9
15.04.1998;29.5
15.05.1998;47.6
15.06.1998;56.1
15.07.1998;58.8
15.08.1998;45.3
15.09.1998;139.7
15.10.1998;84.9
15.11.1998;36.7
15.12.1998;27.8
15.01.1999;28.1
15.02.1999;20.4
15.03.1999;20.7
15.04.1999;15.2
15.05.1999;7.1
15.06.1999;8.4
15.07.1999;9
15.08.1999;9.3
15.09.1999;18.2
15.10.1999;16.1
15.11.1999;13.2
15.12.1999;11.8
15.01.2000;11.8
15.02.2000;11.3
15.03.2000;6.5
15.04.2000;11.1
15.05.2000;7.6
15.06.2000;5.1
15.07.2000;3.4
15.08.2000;4.6
15.09.2000;3.3
15.10.2000;5.2
15.11.2000;8.5
15.12.2000;7.3
15.01.2001;5.4
15.02.2001;12.1
15.03.2001;8.3
15.04.2001;9
15.05.2001;6.9
15.06.2001;13.2
15.07.2001;6.2
15.08.2001;7.3
15.09.2001;8.1
15.10.2001;7.3
15.11.2001;13.5
15.12.2001;23.9
15.01.2002;10.7
15.02.2002;13.3
15.03.2002;12.6
15.04.2002;9.7
15.05.2002;5.2
15.06.2002;6.4
15.07.2002;13.4
15.08.2002;4.9
15.09.2002;6.1
15.10.2002;6.8
15.11.2002;4.1
15.12.2002;5.1
15.01.2003;7.3
15.02.2003;2.5
15.03.2003;2.8
15.04.2003;2
15.05.2003;1.3
15.06.2003;1.4
15.07.2003;4.1
15.08.2003;3.9
15.09.2003;9.9
15.10.2003;5.2
15.11.2003;3.4
15.12.2003;1.4
15.01.2004;1.1
15.02.2004;1.2
15.03.2004;1.8
15.04.2004;5.2
15.05.2004;9.7
15.06.2004;6.6
15.07.2004;3.8
15.08.2004;4.1
15.09.2004;3.1
15.10.2004;1.1
15.11.2004;1.1
15.12.2004;1.1
15.01.2005;1.1
15.02.2005;1.1
15.03.2005;1
15.04.2005;1.3
15.05.2005;3
15.06.2005;4
15.07.2005;3.4
15.08.2005;2.4
15.09.2005;1.4
15.10.2005;2.9
15.11.2005;5.7
15.12.2005;4.8
15.01.2006;3.1
15.02.2006;3.1
15.03.2006;3.3
15.04.2006;3.3
15.05.2006;2.4
15.06.2006;2.8
15.07.2006;2
15.08.2006;2.3
15.09.2006;3.5
15.10.2006;4.1
15.11.2006;6.2
15.12.2006;5
15.01.2007;3.3
15.02.2007;3.8
15.03.2007;4.8
15.04.2007;3.3
15.05.2007;3.3
15.06.2007;3.4
15.07.2007;3.5
15.08.2007;5.2
15.09.2007;6.2
15.10.2007;5.7
15.11.2007;6.3
15.12.2007;4.4
15.01.2008;2.8
15.02.2008;4.3
15.03.2008;4.3
15.04.2008;4.2
15.05.2008;3.7
15.06.2008;3.7
15.07.2008;4.4
15.08.2008;5.8
15.09.2008;7.1
15.10.2008;7.6
15.11.2008;9.5
15.12.2008;8.3
15.01.2009;16.3
15.02.2009;9.3
15.03.2009;8.7
15.04.2009;8.6
15.05.2009;7.1
15.06.2009;6.8
15.07.2009;6.5
15.08.2009;6.6
15.09.2009;7.2
15.10.2009;5.8
15.11.2009;5.3
15.12.2009;5.1
15.01.2010;4
15.02.2010;3.8
15.03.2010;3.6
15.04.2010;3.3
15.05.2010;2.8
15.06.2010;2.6
15.07.2010;2.6
15.08.2010;2.6
15.09.2010;2.6
15.10.2010;2.7
15.11.2010;3.2
15.12.2010;3
15.01.2011;2.7
15.02.2011;2.8
15.03.2011;3.1
15.04.2011;3.3
15.05.2011;3.8
15.06.2011;3.7
15.07.2011;3.9
15.08.2011;4
15.09.2011;4.5
15.10.2011;4.9
15.11.2011;5
15.12.2011;5.4
15.01.2012;4.8
15.02.2012;4.4
15.03.2012;5.1
15.04.2012;5.3
15.05.2012;5.8
15.06.2012;5.8
15.07.2012;5.6
15.08.2012;5.3
15.09.2012;5.5
15.10.2012;6.1
15.11.2012;6.1
15.12.2012;6.2
15.01.2013;5.4
15.02.2013;5.7
15.03.2013;6
