0;DPL#(RSIPTO10H,6);
15.12.1994;NA;
15.01.1995;NA;
15.02.1995;NA;
15.03.1995;NA;
15.04.1995;NA;
15.05.1995;NA;
15.06.1995;NA;
15.07.1995;NA;
15.08.1995;NA;
15.09.1995;NA;
15.10.1995;NA;
15.11.1995;NA;
15.12.1995;NA;
15.01.1996;NA;
15.02.1996;NA;
15.03.1996;NA;
15.04.1996;NA;
15.05.1996;NA;
15.06.1996;NA;
15.07.1996;NA;
15.08.1996;NA;
15.09.1996;NA;
15.10.1996;NA;
15.11.1996;NA;
15.12.1996;NA;
15.01.1997;NA;
15.02.1997;NA;
15.03.1997;NA;
15.04.1997;NA;
15.05.1997;NA;
15.06.1997;NA;
15.07.1997;NA;
15.08.1997;NA;
15.09.1997;NA;
15.10.1997;NA;
15.11.1997;NA;
15.12.1997;NA;
15.01.1998;NA;
15.02.1998;NA;
15.03.1998;NA;
15.04.1998;NA;
15.05.1998;NA;
15.06.1998;NA;
15.07.1998;NA;
15.08.1998;NA;
15.09.1998;NA;
15.10.1998;NA;
15.11.1998;NA;
15.12.1998;NA;
15.01.1999;NA;
15.02.1999;NA;
15.03.1999;NA;
15.04.1999;NA;
15.05.1999;NA;
15.06.1999;NA;
15.07.1999;NA;
15.08.1999;NA;
15.09.1999;NA;
15.10.1999;NA;
15.11.1999;NA;
15.12.1999;NA;
15.01.2000;69;
15.02.2000;66.5;
15.03.2000;71.3;
15.04.2000;73.4;
15.05.2000;64.6;
15.06.2000;65.6;
15.07.2000;66;
15.08.2000;67.4;
15.09.2000;67.4;
15.10.2000;71.6;
15.11.2000;71.6;
15.12.2000;76.3;
15.01.2001;69.3;
15.02.2001;66.9;
15.03.2001;73;
15.04.2001;69.4;
15.05.2001;69.1;
15.06.2001;68.4;
15.07.2001;69.2;
15.08.2001;70.2;
15.09.2001;70.6;
15.10.2001;76.4;
15.11.2001;75.7;
15.12.2001;77.6;
15.01.2002;71.9;
15.02.2002;68.9;
15.03.2002;74.9;
15.04.2002;72.1;
15.05.2002;68.9;
15.06.2002;69.9;
15.07.2002;73.2;
15.08.2002;74;
15.09.2002;73.7;
15.10.2002;78.8;
15.11.2002;76.2;
15.12.2002;80.7;
15.01.2003;75.4;
15.02.2003;74.5;
15.03.2003;82.5;
15.04.2003;80.2;
15.05.2003;76.4;
15.06.2003;76.9;
15.07.2003;79.8;
15.08.2003;79.1;
15.09.2003;81.3;
15.10.2003;85.8;
15.11.2003;83.5;
15.12.2003;92;
15.01.2004;81.2;
15.02.2004;82.5;
15.03.2004;88.7;
15.04.2004;85.6;
15.05.2004;82.4;
15.06.2004;85;
15.07.2004;85.8;
15.08.2004;87.6;
15.09.2004;87;
15.10.2004;89.7;
15.11.2004;91.1;
15.12.2004;98.3;
15.01.2005;83.7;
15.02.2005;87.6;
15.03.2005;93.3;
15.04.2005;89.7;
15.05.2005;84.9;
15.06.2005;90.2;
15.07.2005;89.9;
15.08.2005;91.8;
15.09.2005;92.4;
15.10.2005;94.8;
15.11.2005;96.8;
15.12.2005;102.5;
15.01.2006;87.7;
15.02.2006;88.7;
15.03.2006;98.9;
15.04.2006;93.5;
15.05.2006;94.2;
15.06.2006;94.6;
15.07.2006;95.8;
15.08.2006;99.3;
15.09.2006;98.7;
15.10.2006;103;
15.11.2006;103.9;
15.12.2006;108.2;
15.01.2007;96.2;
15.02.2007;95.1;
15.03.2007;105.6;
15.04.2007;100;
15.05.2007;100.7;
15.06.2007;101.5;
15.07.2007;104.6;
15.08.2007;105.7;
15.09.2007;103.4;
15.10.2007;108.8;
15.11.2007;110.2;
15.12.2007;113.6;
15.01.2008;102.6;
15.02.2008;102.8;
15.03.2008;109.4;
15.04.2008;105.7;
15.05.2008;105.2;
15.06.2008;104.4;
15.07.2008;106.6;
15.08.2008;106.7;
15.09.2008;106.4;
15.10.2008;107.1;
15.11.2008;96.4;
15.12.2008;99;
15.01.2009;83.9;
15.02.2009;84.7;
15.03.2009;93.7;
15.04.2009;89.8;
15.05.2009;88.7;
15.06.2009;90.8;
15.07.2009;93.8;
15.08.2009;92.8;
15.09.2009;95;
15.10.2009;99.1;
15.11.2009;99.9;
15.12.2009;106.5;
15.01.2010;91;
15.02.2010;90.9;
15.03.2010;102.4;
